k,n,p,nombre,longitud_esperada,prob_cobertura
500,100,0.01,asintotico_slutsky,0.0017434111452785629,0.948
500,100,0.01,bootstrap,0.0017336785000000002,0.947
500,100,0.01,clopper,0.0017639173092284318,0.9505
500,100,0.1,asintotico_cuadratico,0.005259562331172555,0.95
500,100,0.1,asintotico_slutsky,0.005259405270393552,0.948
500,100,0.1,bootstrap,0.005229317,0.9465
500,100,0.1,clopper,0.005279398150682709,0.9505
500,100,0.5,asintotico_cuadratico,0.008764800459159127,0.952
500,100,0.5,asintotico_slutsky,0.00876513714211543,0.952
500,100,0.5,bootstrap,0.008714097999999998,0.948
500,100,0.5,clopper,0.008784923809765234,0.952
500,100,0.9,asintotico_cuadratico,0.005259940333342312,0.9535
500,100,0.9,asintotico_slutsky,0.00525978334243484,0.955
500,100,0.9,bootstrap,0.0052333845,0.953
500,100,0.9,clopper,0.005279776194847006,0.9555
500,100,0.99,asintotico_cuadratico,0.0017459760043366562,0.9465
500,100,0.99,asintotico_slutsky,0.0017444182324907217,0.9475
500,100,0.99,bootstrap,0.0017317319999999997,0.9445
500,100,0.99,clopper,0.0017649240376336555,0.9495
